attorney,take,facebook,google,other,referal,website,surgery,sex,days_passed
Patty Hewes,1,0,0,0,0,1,0,female,578
Daniel Kafee,0,0,1,0,0,0,1,female,395
Ally McBeal,1,0,0,0,0,0,0,female,2
Daniel Kafee,0,0,1,0,0,0,0,female,660
Perry Mason,0,1,0,0,0,0,1,female,445
Daniel Kafee,0,0,0,0,1,0,0,male,1038
Atticus Finch,0,0,0,0,0,0,1,female,780
JoAnee Galloway,1,1,0,0,0,0,0,female,611
JoAnee Galloway,0,0,0,1,0,0,0,male,946
Patty Hewes,1,0,0,0,1,0,1,female,385
Patty Hewes,1,0,1,0,0,0,0,male,535
Ally McBeal,0,1,0,0,0,0,0,female,691
Ally McBeal,0,1,0,0,0,0,0,female,1180
Atticus Finch,0,0,0,0,0,0,1,female,2225
Ally McBeal,1,0,0,0,0,0,0,female,537
Perry Mason,0,0,0,0,0,0,0,male,445
Daniel Kafee,1,1,0,0,0,0,1,male,608
JoAnee Galloway,1,0,0,0,1,0,0,female,375
Atticus Finch,0,0,0,0,0,0,1,female,970
Rusty Sabich,0,1,0,0,0,0,0,female,1458
Rusty Sabich,0,0,1,0,0,0,0,female,765
Perry Mason,0,0,1,0,0,0,0,female,738
Ally McBeal,1,0,0,0,0,0,1,male,90
,1,0,0,0,0,0,0,male,322
JoAnee Galloway,1,0,0,1,0,0,1,female,239
Patty Hewes,0,1,0,0,0,0,1,female,1221
Perry Mason,0,0,0,0,1,0,1,male,1105
JoAnee Galloway,0,0,1,0,0,0,1,male,108
JoAnee Galloway,1,0,0,0,0,1,0,male,39
Atticus Finch,0,0,0,1,0,0,0,male,643
JoAnee Galloway,0,1,0,0,0,0,0,female,1239
Patty Hewes,0,0,1,0,0,0,0,,496
Rachel Zane,0,0,1,0,0,0,1,male,216
Atticus Finch,0,0,0,1,0,0,0,male,637
Daniel Kafee,0,1,0,0,0,0,0,male,98
Daniel Kafee,0,0,0,0,0,0,1,female,889
JoAnee Galloway,0,0,1,0,0,0,0,male,402
Daniel Kafee,0,0,0,0,1,0,0,female,1377
Patty Hewes,0,0,1,0,0,0,1,female,2345
Daniel Kafee,1,0,0,0,0,0,1,female,693
Rachel Zane,0,0,1,0,0,0,1,female,1233
Perry Mason,0,1,0,0,0,0,0,female,1125
Rachel Zane,1,1,0,0,0,0,1,male,45
Ally McBeal,0,0,0,1,0,0,1,male,615
Rachel Zane,0,0,0,1,0,0,0,female,966
Ally McBeal,1,1,0,0,0,0,1,male,166
,0,0,0,0,0,1,0,male,17
Daniel Kafee,0,1,0,0,0,0,1,female,332
Daniel Kafee,0,1,0,0,0,0,0,male,1150
Atticus Finch,1,0,0,0,0,1,1,male,541
Ally McBeal,0,0,0,0,1,0,1,male,2778
Rusty Sabich,1,1,0,0,0,0,1,female,175
Rusty Sabich,1,0,0,1,0,0,0,female,175
Atticus Finch,0,1,0,0,0,0,1,female,406
,1,0,0,0,0,1,0,male,21
Daniel Kafee,1,0,0,0,1,0,1,female,170
Ally McBeal,1,0,0,0,0,0,0,female,204
Rusty Sabich,1,0,0,0,0,0,1,female,170
Ally McBeal,1,0,0,0,0,1,1,female,9
JoAnee Galloway,0,0,0,0,1,0,0,male,1470
,0,0,0,1,0,0,1,male,1592
Perry Mason,0,0,0,0,1,0,0,female,1410
JoAnee Galloway,0,0,0,0,0,0,1,male,844
Perry Mason,0,0,1,0,0,0,1,female,1166
Patty Hewes,0,0,0,0,0,1,0,female,941
JoAnee Galloway,0,0,0,1,0,0,1,female,1059
Patty Hewes,1,0,0,0,0,1,1,male,380
Patty Hewes,0,0,0,1,0,0,0,male,923
Atticus Finch,0,0,1,0,0,0,0,male,1715
Rachel Zane,0,1,0,0,0,0,1,male,1707
Ally McBeal,0,0,1,0,0,0,1,male,388
JoAnee Galloway,1,0,0,0,0,0,0,female,372
JoAnee Galloway,1,0,0,1,0,0,1,male,595
JoAnee Galloway,0,0,0,0,0,0,0,female,1280
Perry Mason,0,0,0,0,0,1,0,female,286
Patty Hewes,0,0,0,0,0,0,1,female,1494
Daniel Kafee,0,1,0,0,0,0,0,female,525
Patty Hewes,1,0,0,0,1,0,1,female,33
Ally McBeal,0,0,0,0,0,1,1,male,259
,0,0,0,0,0,1,1,female,263
Perry Mason,0,0,0,0,0,1,1,male,1133
Perry Mason,1,0,1,0,0,0,1,female,450
Rachel Zane,0,0,0,0,0,0,0,male,920
,1,0,0,0,0,0,1,female,409
Patty Hewes,0,1,0,0,0,0,0,male,82
Perry Mason,0,1,0,0,0,0,0,female,860
Daniel Kafee,0,0,0,0,1,0,0,female,789
Patty Hewes,1,0,0,0,0,0,0,male,626
Daniel Kafee,0,1,0,0,0,0,0,female,696
Rusty Sabich,0,0,0,0,1,0,1,female,946
JoAnee Galloway,0,0,0,1,0,0,1,male,762
Daniel Kafee,0,0,1,0,0,0,1,male,811
Patty Hewes,1,0,0,0,1,0,0,male,647
Ally McBeal,0,1,0,0,0,0,1,male,2050
JoAnee Galloway,0,0,1,0,0,0,1,female,661
Perry Mason,0,0,0,0,1,0,1,male,1190
Patty Hewes,1,1,0,0,0,0,0,female,224
Ally McBeal,0,1,0,0,0,0,1,male,767
Rusty Sabich,0,0,0,1,0,0,1,male,703
Patty Hewes,0,0,0,0,0,0,1,male,408
Patty Hewes,1,0,0,0,0,1,1,male,615
Ally McBeal,0,0,0,0,1,0,0,male,1147
Ally McBeal,0,0,1,0,0,0,0,male,30
JoAnee Galloway,0,1,0,0,0,0,0,male,915
Perry Mason,1,0,0,0,0,0,1,male,189
Rusty Sabich,1,0,1,0,0,0,1,male,24
Patty Hewes,1,0,0,0,0,1,1,female,293
Rusty Sabich,1,0,1,0,0,0,1,female,60
Daniel Kafee,0,0,1,0,0,0,1,female,1779
Atticus Finch,0,0,1,0,0,0,0,male,774
Perry Mason,0,0,1,0,0,0,0,female,355
Patty Hewes,0,0,0,0,0,0,1,female,956
Atticus Finch,1,0,1,0,0,0,1,male,214
Rusty Sabich,0,0,0,0,0,1,1,male,150
,0,1,0,0,0,0,0,female,1127
Daniel Kafee,0,1,0,0,0,0,0,male,104
Rachel Zane,1,0,0,0,0,1,1,male,550
Rachel Zane,0,0,0,0,1,0,0,female,1935
JoAnee Galloway,0,0,0,0,1,0,0,male,1479
Perry Mason,0,0,1,0,0,0,0,male,497
Atticus Finch,0,0,0,0,0,1,0,male,1075
Rusty Sabich,1,0,0,0,0,0,1,male,444
Atticus Finch,0,0,0,0,0,0,0,female,153
Rusty Sabich,0,0,0,0,0,0,1,male,1775
Rachel Zane,0,0,0,0,0,1,1,male,1068
JoAnee Galloway,1,0,0,0,0,0,1,female,228
Ally McBeal,0,1,0,0,0,0,1,female,848
Daniel Kafee,0,0,0,0,0,0,1,male,385
Patty Hewes,1,0,1,0,0,0,1,female,220
Patty Hewes,0,0,1,0,0,0,1,male,155
,1,0,0,0,1,0,0,male,576
,1,0,0,0,0,0,1,male,269
Atticus Finch,0,0,0,0,0,1,0,male,658
Rusty Sabich,1,1,0,0,0,0,0,male,524
Daniel Kafee,0,0,1,0,0,0,1,male,56
Rachel Zane,1,0,0,1,0,0,0,female,364
Atticus Finch,1,0,0,0,0,1,0,male,517
JoAnee Galloway,0,1,0,0,0,0,1,female,1096
Atticus Finch,1,0,0,0,1,0,0,male,203
,0,0,1,0,0,0,1,male,1228
Daniel Kafee,1,0,0,0,1,0,0,female,417
Atticus Finch,0,0,0,0,0,1,0,female,863
,1,0,1,0,0,0,0,male,502
Perry Mason,0,0,0,0,0,0,0,male,787
Patty Hewes,0,1,0,0,0,0,1,male,259
Ally McBeal,0,0,0,1,0,0,0,male,123
Daniel Kafee,0,0,0,1,0,0,1,female,1612
JoAnee Galloway,0,0,0,1,0,0,0,male,1225
Daniel Kafee,1,0,0,0,0,0,1,male,522
Rachel Zane,1,1,0,0,0,0,1,female,321
,1,1,0,0,0,0,1,male,660
JoAnee Galloway,0,0,1,0,0,0,1,male,1040
JoAnee Galloway,1,0,0,0,1,0,1,female,10
JoAnee Galloway,0,0,1,0,0,0,1,male,1938
Perry Mason,0,0,0,1,0,0,1,female,1667
Daniel Kafee,0,0,0,1,0,0,0,female,1760
Rachel Zane,0,0,0,1,0,0,0,female,1044
,0,0,0,0,0,1,1,male,1397
JoAnee Galloway,1,0,0,0,0,0,1,male,395
Perry Mason,0,0,0,0,0,0,0,male,1273
JoAnee Galloway,0,0,0,0,1,0,1,female,337
Rachel Zane,0,0,0,0,1,0,0,female,1486
Perry Mason,0,0,1,0,0,0,0,female,1083
Rachel Zane,1,0,0,0,0,0,1,male,451
,0,0,0,0,0,0,0,female,894
Perry Mason,1,0,1,0,0,0,0,female,203
JoAnee Galloway,0,0,0,0,1,0,1,male,1522
Rachel Zane,0,0,0,0,1,0,1,female,1621
Rachel Zane,0,0,0,1,0,0,0,female,265
Rachel Zane,1,1,0,0,0,0,1,female,254
Atticus Finch,0,0,0,1,0,0,0,male,160
Patty Hewes,0,0,1,0,0,0,0,female,2197
Ally McBeal,0,0,0,0,0,0,1,female,1127
Perry Mason,0,0,0,0,0,1,0,male,624
,1,0,0,0,0,0,1,female,109
Patty Hewes,0,0,1,0,0,0,1,male,2311
Daniel Kafee,0,0,0,0,1,0,0,male,1478
JoAnee Galloway,0,1,0,0,0,0,0,male,769
Daniel Kafee,0,0,0,1,0,0,1,male,190
Perry Mason,0,0,0,1,0,0,0,male,806
Perry Mason,1,0,0,0,1,0,1,male,510
Daniel Kafee,1,1,0,0,0,0,1,male,500
JoAnee Galloway,0,1,0,0,0,0,1,female,591
Rachel Zane,0,0,1,0,0,0,1,female,2030
,0,0,0,1,0,0,0,female,1583
Patty Hewes,0,0,0,1,0,0,0,female,960
Daniel Kafee,0,0,0,0,1,0,1,female,1217
Atticus Finch,0,0,0,0,0,0,1,male,907
Daniel Kafee,1,1,0,0,0,0,0,male,115
Rusty Sabich,0,1,0,0,0,0,1,male,332
,1,0,0,1,0,0,0,male,50
Patty Hewes,0,1,0,0,0,0,1,male,760
,0,1,0,0,0,0,0,male,824
Rusty Sabich,0,0,0,0,0,1,1,female,895
Rachel Zane,0,0,1,0,0,0,1,male,800
Atticus Finch,0,1,0,0,0,0,1,female,973
JoAnee Galloway,1,1,0,0,0,0,0,female,182
Atticus Finch,1,0,0,0,0,0,1,male,185
Rachel Zane,0,0,0,0,1,0,0,male,1552
Atticus Finch,0,1,0,0,0,0,1,male,664
Patty Hewes,0,0,1,0,0,0,0,male,667
Daniel Kafee,0,0,0,1,0,0,0,male,156
Ally McBeal,1,0,1,0,0,0,1,male,43
Daniel Kafee,0,0,0,0,1,0,0,female,1735
Daniel Kafee,0,0,1,0,0,0,0,male,146
Rusty Sabich,1,1,0,0,0,0,1,male,477
Patty Hewes,0,0,0,0,0,1,0,male,902
JoAnee Galloway,0,0,0,0,1,0,0,female,1253
Daniel Kafee,0,0,0,1,0,0,0,male,433
Rachel Zane,1,0,0,1,0,0,1,male,68
Ally McBeal,0,0,0,1,0,0,1,female,428
Rachel Zane,0,0,0,0,0,1,1,male,79
Rachel Zane,0,0,0,1,0,0,1,female,1056
JoAnee Galloway,0,0,0,0,0,1,1,female,1041
Rachel Zane,0,0,1,0,0,0,1,female,803
Atticus Finch,0,1,0,0,0,0,1,male,1679
Patty Hewes,1,1,0,0,0,0,0,male,164
Rusty Sabich,1,0,0,1,0,0,0,,658
Perry Mason,0,0,1,0,0,0,0,female,755
Perry Mason,1,0,0,0,0,0,0,female,65
Ally McBeal,0,0,0,1,0,0,0,male,1141
Perry Mason,1,0,1,0,0,0,0,female,182
Ally McBeal,0,0,0,1,0,0,0,male,1558
Perry Mason,0,0,0,1,0,0,1,female,981
Perry Mason,0,0,0,0,0,0,0,male,868
Perry Mason,0,1,0,0,0,0,0,male,551
Perry Mason,0,0,0,1,0,0,1,female,756
Ally McBeal,1,0,0,0,0,1,0,male,314
Ally McBeal,0,0,0,1,0,0,0,male,1675
Perry Mason,0,0,0,0,0,1,0,female,838
Perry Mason,0,1,0,0,0,0,0,male,1186
Rachel Zane,0,0,0,0,0,0,0,male,741
JoAnee Galloway,0,0,0,1,0,0,0,,1646
JoAnee Galloway,0,0,0,0,0,0,0,male,1256
JoAnee Galloway,1,0,0,0,0,1,1,male,360
Atticus Finch,0,0,0,0,0,0,1,male,681
Patty Hewes,0,1,0,0,0,0,0,male,569
Daniel Kafee,0,0,0,1,0,0,0,male,1083
Daniel Kafee,1,0,0,0,0,0,0,female,555
Rachel Zane,0,0,0,0,0,0,0,male,2714
Ally McBeal,0,0,0,0,0,1,0,female,930
Patty Hewes,1,0,0,1,0,0,0,female,167
Rusty Sabich,0,0,0,1,0,0,0,male,1178
Perry Mason,0,0,0,0,0,1,1,female,890
Atticus Finch,0,0,1,0,0,0,1,male,1253
Ally McBeal,0,0,0,0,0,0,0,male,1501
JoAnee Galloway,0,0,0,1,0,0,1,female,1829
JoAnee Galloway,0,1,0,0,0,0,1,male,1140
Patty Hewes,1,0,0,0,1,0,0,female,662
Daniel Kafee,1,0,0,1,0,0,1,male,260
Patty Hewes,1,0,0,1,0,0,0,female,394
Rachel Zane,1,0,0,0,1,0,1,female,498
JoAnee Galloway,1,0,0,0,1,0,0,male,360
Patty Hewes,1,0,1,0,0,0,1,female,183
JoAnee Galloway,0,0,0,0,0,1,0,male,1558
Patty Hewes,1,0,0,0,0,0,0,female,4
Patty Hewes,0,0,0,0,0,0,0,male,1370
Rusty Sabich,0,0,0,0,0,0,0,female,707
Rusty Sabich,0,1,0,0,0,0,1,male,1017
Atticus Finch,0,0,0,0,0,0,0,male,1290
JoAnee Galloway,0,0,0,0,0,1,1,male,906
Patty Hewes,0,0,0,0,0,1,1,female,98
Rusty Sabich,0,0,0,0,0,0,0,female,274
Ally McBeal,0,0,0,1,0,0,0,female,771
Rusty Sabich,0,0,0,0,0,1,0,male,695
Daniel Kafee,1,0,0,0,0,1,1,female,577
Atticus Finch,0,0,0,0,0,1,1,male,950
Patty Hewes,0,0,0,0,0,1,0,male,305
Rachel Zane,1,0,0,0,1,0,1,male,187
Patty Hewes,1,0,1,0,0,0,1,female,459
Rachel Zane,0,0,0,1,0,0,1,female,112
Rachel Zane,0,0,0,0,0,1,0,male,445
Atticus Finch,1,0,1,0,0,0,0,male,328
Patty Hewes,0,0,0,0,0,0,1,male,1229
JoAnee Galloway,1,0,1,0,0,0,1,male,288
Daniel Kafee,1,0,0,0,0,0,0,female,44
Ally McBeal,0,0,0,0,0,0,1,female,801
Patty Hewes,1,0,0,0,0,0,0,male,171
Atticus Finch,0,0,1,0,0,0,0,male,1778
Perry Mason,1,0,1,0,0,0,0,male,261
Rusty Sabich,0,0,0,1,0,0,0,female,1155
,0,0,0,0,0,0,1,male,807
Patty Hewes,0,0,0,0,0,1,1,male,723
Ally McBeal,0,0,0,0,0,0,1,male,971
Perry Mason,0,0,1,0,0,0,0,female,676
Patty Hewes,0,0,1,0,0,0,1,male,1530
,0,0,0,0,0,1,1,male,1121
Patty Hewes,1,0,0,0,1,0,0,male,475
Daniel Kafee,1,0,0,0,1,0,0,female,636
Rusty Sabich,1,0,0,0,1,0,0,male,198
,0,0,0,0,0,1,1,female,878
JoAnee Galloway,1,0,0,1,0,0,1,male,365
Patty Hewes,0,1,0,0,0,0,0,female,772
JoAnee Galloway,1,1,0,0,0,0,0,male,267
Daniel Kafee,0,0,1,0,0,0,1,female,1381
Daniel Kafee,0,0,1,0,0,0,0,male,1137
Daniel Kafee,0,0,0,0,0,0,1,female,374
Rusty Sabich,1,0,0,0,1,0,0,female,550
Ally McBeal,0,0,0,1,0,0,0,male,2116
Daniel Kafee,1,0,0,0,0,0,1,male,131
Rusty Sabich,0,0,0,0,1,0,1,male,1487
Ally McBeal,0,0,0,0,0,0,0,male,1288
Rachel Zane,0,0,0,0,0,1,1,female,727
Rusty Sabich,0,0,1,0,0,0,1,female,427
Patty Hewes,0,0,0,0,1,0,1,male,1294
Atticus Finch,0,0,0,0,0,0,1,female,1452
Atticus Finch,0,0,0,0,1,0,0,male,396
Perry Mason,0,0,0,1,0,0,0,male,311
Rachel Zane,1,0,1,0,0,0,1,female,117
Rachel Zane,0,0,0,1,0,0,0,male,845
Rachel Zane,0,0,0,0,0,0,0,male,409
Daniel Kafee,0,0,0,0,1,0,1,male,889
,1,0,0,1,0,0,1,male,649
Perry Mason,0,0,0,0,1,0,0,female,754
Ally McBeal,1,0,0,0,0,0,1,female,472
Ally McBeal,1,0,1,0,0,0,1,female,93
Daniel Kafee,0,1,0,0,0,0,0,female,444
Rachel Zane,0,0,0,1,0,0,0,female,491
Atticus Finch,1,1,0,0,0,0,1,male,214
Patty Hewes,0,1,0,0,0,0,1,male,1892
,0,1,0,0,0,0,1,male,508
Patty Hewes,1,1,0,0,0,0,0,male,399
Ally McBeal,0,0,0,0,0,1,0,female,1130
Daniel Kafee,0,0,0,1,0,0,0,female,10
Ally McBeal,1,0,0,0,0,0,1,male,99
,0,0,1,0,0,0,1,male,593
Perry Mason,0,0,0,0,0,0,0,male,18
Patty Hewes,0,0,1,0,0,0,0,male,1153
Perry Mason,0,0,0,1,0,0,0,male,142
Ally McBeal,0,0,0,1,0,0,0,female,954
JoAnee Galloway,1,0,0,0,0,1,1,female,527
Atticus Finch,0,1,0,0,0,0,1,female,479
JoAnee Galloway,1,0,0,0,0,0,1,female,198
Ally McBeal,1,0,0,0,0,0,1,female,58
Patty Hewes,0,0,1,0,0,0,0,female,877
Atticus Finch,0,1,0,0,0,0,0,male,491
Perry Mason,0,1,0,0,0,0,0,female,1854
Rachel Zane,0,1,0,0,0,0,1,male,1108
Ally McBeal,1,0,0,0,0,0,1,male,226
JoAnee Galloway,0,0,0,1,0,0,1,female,1190
Ally McBeal,1,0,0,0,0,0,0,female,400
Daniel Kafee,0,0,0,0,0,0,0,male,302
JoAnee Galloway,1,0,0,0,0,0,0,male,119
Atticus Finch,0,0,1,0,0,0,1,female,475
Atticus Finch,1,0,0,1,0,0,1,female,357
,0,0,0,1,0,0,1,female,1612
JoAnee Galloway,1,0,0,0,1,0,0,female,457
Rachel Zane,0,0,0,1,0,0,0,female,221
Perry Mason,1,0,0,0,1,0,1,male,448
,1,0,0,0,1,0,1,female,580
Rusty Sabich,0,0,0,0,0,0,1,female,515
Daniel Kafee,0,1,0,0,0,0,1,female,462
Ally McBeal,1,0,1,0,0,0,1,female,176
Ally McBeal,0,1,0,0,0,0,0,female,829
Rachel Zane,0,0,0,0,0,1,0,male,1539
Daniel Kafee,0,0,1,0,0,0,1,female,196
Daniel Kafee,0,1,0,0,0,0,0,female,75
Rusty Sabich,0,0,0,0,0,1,0,male,180
Rachel Zane,1,0,0,0,0,1,1,male,501
Perry Mason,0,0,0,1,0,0,0,male,66
JoAnee Galloway,0,0,0,0,0,1,1,male,11
Atticus Finch,0,0,0,1,0,0,1,female,1301
Ally McBeal,0,0,0,0,0,1,1,female,1775
Atticus Finch,0,0,0,1,0,0,0,male,941
JoAnee Galloway,0,0,0,1,0,0,0,male,1604
Patty Hewes,1,0,0,1,0,0,0,female,62
Patty Hewes,0,0,0,0,0,1,1,female,398
,0,0,0,0,0,0,1,female,237
Rachel Zane,0,1,0,0,0,0,1,female,930
Ally McBeal,0,0,0,1,0,0,0,female,929
Patty Hewes,0,0,0,0,0,1,0,female,1273
Ally McBeal,0,0,0,0,0,0,1,female,997
Rusty Sabich,0,0,0,1,0,0,0,female,1141
Perry Mason,0,0,1,0,0,0,1,female,2140
Atticus Finch,1,0,0,0,0,0,0,male,386
JoAnee Galloway,0,0,0,0,0,0,1,female,663
Rusty Sabich,0,0,0,0,1,0,1,male,952
,1,0,0,0,0,1,0,male,55
Rusty Sabich,1,0,1,0,0,0,0,female,152
JoAnee Galloway,0,0,0,1,0,0,0,male,400
,0,1,0,0,0,0,1,male,1085
Ally McBeal,1,0,0,0,1,0,0,male,418
Atticus Finch,0,1,0,0,0,0,0,female,784
,1,1,0,0,0,0,0,female,462
Ally McBeal,0,0,0,0,0,1,1,female,806
Rachel Zane,1,0,0,0,0,1,1,female,530
JoAnee Galloway,0,0,0,0,0,0,1,male,715
Rusty Sabich,0,0,0,0,0,1,0,female,1396
JoAnee Galloway,0,0,1,0,0,0,1,female,433
Perry Mason,0,0,1,0,0,0,1,male,1261
Rachel Zane,0,0,0,0,1,0,0,female,766
JoAnee Galloway,0,0,0,1,0,0,1,female,2784
Atticus Finch,0,0,0,1,0,0,0,male,1889
Rachel Zane,0,0,1,0,0,0,0,male,845
,0,0,0,0,0,0,1,male,833
Patty Hewes,1,0,0,0,0,0,1,female,30
Rachel Zane,1,0,0,0,0,0,1,male,490
Ally McBeal,0,0,0,0,0,1,1,male,858
Rachel Zane,0,1,0,0,0,0,0,male,345
Ally McBeal,0,0,1,0,0,0,1,male,240
Ally McBeal,0,0,1,0,0,0,0,male,144
JoAnee Galloway,0,1,0,0,0,0,0,female,1396
Ally McBeal,1,1,0,0,0,0,1,male,280
Ally McBeal,0,0,1,0,0,0,0,male,953
Perry Mason,1,0,0,0,1,0,0,female,70
Ally McBeal,0,0,0,1,0,0,1,female,741
JoAnee Galloway,0,0,1,0,0,0,0,male,1031
JoAnee Galloway,1,0,0,0,0,1,0,male,278
Perry Mason,0,0,1,0,0,0,0,male,99
Rusty Sabich,0,0,0,0,1,0,1,male,1218
Rusty Sabich,0,0,0,0,1,0,0,male,1020
Rusty Sabich,0,0,0,0,0,0,0,female,1122
Ally McBeal,0,0,1,0,0,0,1,female,123
Perry Mason,0,0,0,1,0,0,0,male,125
Daniel Kafee,0,0,0,0,0,1,1,male,818
Rachel Zane,1,1,0,0,0,0,0,male,234
,0,0,0,0,0,1,1,male,161
Ally McBeal,1,0,1,0,0,0,1,female,310
Rachel Zane,0,0,0,0,0,0,0,male,419
Patty Hewes,0,0,0,0,1,0,0,female,1881
JoAnee Galloway,0,1,0,0,0,0,0,male,8
Atticus Finch,0,0,0,0,1,0,0,female,836
Atticus Finch,1,0,0,0,0,1,0,female,415
Atticus Finch,0,0,0,0,0,1,0,male,1287
Daniel Kafee,0,0,1,0,0,0,1,female,613
JoAnee Galloway,1,0,0,0,1,0,1,female,55
Patty Hewes,0,0,0,1,0,0,1,male,1638
Atticus Finch,1,1,0,0,0,0,1,female,366
Rusty Sabich,0,0,0,1,0,0,1,female,1061
Daniel Kafee,1,0,0,0,1,0,0,female,238
Ally McBeal,0,0,0,0,0,0,0,female,901
Rusty Sabich,0,1,0,0,0,0,1,female,1493
Ally McBeal,1,0,0,0,1,0,0,male,279
Rachel Zane,0,0,0,0,0,0,1,male,1370
Daniel Kafee,1,0,0,1,0,0,1,female,46
Ally McBeal,0,0,0,1,0,0,1,male,1700
Rachel Zane,0,0,0,0,1,0,1,male,1529
Rachel Zane,0,0,0,0,1,0,0,male,1015
Patty Hewes,1,0,0,1,0,0,0,female,220
Ally McBeal,0,0,1,0,0,0,0,male,40
JoAnee Galloway,0,0,0,0,1,0,1,female,908
Atticus Finch,1,0,0,0,1,0,1,male,610
Rusty Sabich,0,0,0,0,1,0,0,male,731
Perry Mason,0,1,0,0,0,0,1,female,1583
Perry Mason,0,0,0,0,0,0,0,male,1245
Perry Mason,0,0,1,0,0,0,1,male,1030
Atticus Finch,0,0,0,1,0,0,0,male,548
Atticus Finch,1,0,0,1,0,0,1,female,214
Daniel Kafee,0,0,0,0,1,0,1,female,748
Patty Hewes,0,0,0,0,0,0,1,male,389
Rachel Zane,0,0,0,0,0,0,0,female,972
Rusty Sabich,0,0,0,0,0,0,1,female,2212
Atticus Finch,0,1,0,0,0,0,0,male,113
Patty Hewes,0,0,0,1,0,0,0,male,735
Ally McBeal,1,0,1,0,0,0,0,male,166
Atticus Finch,0,1,0,0,0,0,1,female,718
Rachel Zane,0,0,0,1,0,0,0,male,1356
,0,1,0,0,0,0,1,female,252
Atticus Finch,0,1,0,0,0,0,1,female,441
